step,demo_index,cfg_scale,control_scale,variant,row_type,variant_a,variant_b,control_input_rms,control_input_mean_abs,control_input_zero_ratio,forward_delta_rms,forward_delta_mean_abs,forward_delta_zero_ratio,forward_delta_frame_active_ratio,forward_delta_cosine,forward_delta_relative_l2_difference,audio_rms,audio_peak,audio_silence_ratio,low_band_ratio,mid_band_ratio,high_band_ratio,low_mid_band_ratio,spectral_centroid_hz,warning
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.7205681204795837,1.2443394660949707,0.0,1.0002808417914074e-14,0.0,1.0,1.0002808417914074e-14,16957.769437458035,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.919267475605011,1.438550591468811,0.0,1.4947692426139453e-14,0.0,1.0,1.4947692426139453e-14,8953.200160524704,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.8618937730789185,1.3971461057662964,0.0,1.484916868584027e-14,0.0,1.0,1.484916868584027e-14,17340.56061059209,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.5920906662940979,0.9677914381027222,0.0,0.0,0.0,1.0,0.0,12111.828531911868,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,1.2579535245895386,2.17594575881958,0.0,5.344065530297605e-15,0.0,1.0,5.344065530297605e-15,19974.48525336652,
1,0,3.0,0.0,correct,variant,,,,,,,,,,,,1.0327026844024658,1.8764312267303467,0.0,6.832376887571066e-15,0.0,1.0,6.832376887571066e-15,22162.564305767683,
1,0,3.0,0.0,zero,variant,,,,,,,,,,,,1.0327026844024658,1.8764312267303467,0.0,6.832376887571066e-15,0.0,1.0,6.832376887571066e-15,22162.564305767683,
1,0,3.0,0.0,null,variant,,,,,,,,,,,,1.0327026844024658,1.8764312267303467,0.0,6.832376887571066e-15,0.0,1.0,6.832376887571066e-15,22162.564305767683,
1,0,3.0,0.3,correct,variant,,,,,,,,,,,,1.0327026844024658,1.8764312267303467,0.0,6.832376887571066e-15,0.0,1.0,6.832376887571066e-15,22162.564305767683,
1,0,3.0,0.3,zero,variant,,,,,,,,,,,,1.0327026844024658,1.8764312267303467,0.0,6.832376887571066e-15,0.0,1.0,6.832376887571066e-15,22162.564305767683,
1,0,3.0,0.3,null,variant,,,,,,,,,,,,1.0327026844024658,1.8764312267303467,0.0,6.832376887571066e-15,0.0,1.0,6.832376887571066e-15,22162.564305767683,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.2728532552719116,0.4681793451309204,0.0,4.5363838169196235e-15,0.0,1.0,4.5363838169196235e-15,16306.029357857935,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,0.6995930671691895,0.9581801891326904,0.0,9.009447994140843e-16,0.0,1.0,9.009447994140843e-16,11180.877266357116,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,1.1262234449386597,1.805681824684143,0.0,2.4750138492556072e-15,0.0,1.0,2.4750138492556072e-15,12915.002285389213,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,1.228888988494873,2.109715700149536,0.0,4.904262174012983e-16,0.0,1.0,4.904262174012983e-16,14626.481221628257,
1,0,3.0,1.0,correct,variant,,,,,,,,,,,,0.7478833794593811,1.3555879592895508,0.0,3.404589228300464e-16,0.0,1.0,3.404589228300464e-16,13886.845966908875,
1,1,3.0,1.0,correct,variant,,,,,,,,,,,,1.1024394035339355,1.710601568222046,0.0,0.0,0.0,1.0,0.0,14845.353043497355,
1,0,3.0,0.0,correct,variant,,,,,,,,,,,,1.231107473373413,2.155207633972168,0.0,4.943513953713457e-15,0.0,1.0,4.943513953713457e-15,22230.13065667889,
1,0,3.0,0.0,zero,variant,,,,,,,,,,,,1.231107473373413,2.155207633972168,0.0,4.943513953713457e-15,0.0,1.0,4.943513953713457e-15,22230.13065667889,
1,0,3.0,0.0,null,variant,,,,,,,,,,,,1.231107473373413,2.155207633972168,0.0,4.943513953713457e-15,0.0,1.0,4.943513953713457e-15,22230.13065667889,
